feature_n,variable,value
40.0,svm,0.8755896020743141
40.0,svm,0.8568074003795065
40.0,svm,0.8786510263929618
40.0,svm,0.8560049120609229
40.0,svm,0.901431156940579
40.0,svm,0.884853462304756
40.0,svm,0.8315318041517883
40.0,svm,0.8702199413489736
40.0,svm,0.8864736070381231
40.0,svm,0.886109587098267
40.0,svm,0.9196806777451939
40.0,svm,0.8654953917050691
40.0,svm,0.8429573338847534
40.0,svm,0.8780425219941349
40.0,svm,0.8702199413489736
40.0,svm,0.8760208970205777
40.0,svm,0.8639391555205874
40.0,svm,0.8321948134092346
40.0,svm,0.8903225806451613
40.0,svm,0.8870229282613785
40.0,svm,0.8491382036685641
40.0,svm,0.8874047657643054
40.0,svm,0.8737507906388361
40.0,svm,0.8760208970205777
40.0,svm,0.8682757676689328
40.0,svm,0.877108332953111
40.0,svm,0.8702199413489736
40.0,svm,0.8755896020743141
40.0,svm,0.8734511489035486
40.0,svm,0.8798468556533073
40.0,svm,0.8891883366249725
40.0,svm,0.8734969190789668
40.0,svm,0.8283023556515843
40.0,svm,0.8829631422865097
40.0,svm,0.85818757691299
40.0,svm,0.8682757676689328
40.0,svm,0.8832965780793991
40.0,svm,0.8288855555738704
40.0,svm,0.8610716111863786
40.0,svm,0.8391635901470677
40.0,svm,0.9113722735541506
40.0,svm,0.8830249841872232
40.0,svm,0.8640436624307593
40.0,svm,0.901431156940579
40.0,svm,0.8786510263929618
40.0,svm,0.842079662652657
40.0,svm,0.8658193629082692
40.0,svm,0.808569723231
40.0,svm,0.8727585017541781
40.0,svm,0.8539662756598241
40.0,svm,0.8753557874762807
40.0,svm,0.8152514231499052
40.0,svm,0.8727585017541781
40.0,svm,0.8753557874762807
40.0,svm,0.8755896020743141
40.0,svm,0.8310531260817248
40.0,svm,0.8859408982372892
40.0,svm,0.8734511489035486
40.0,svm,0.842079662652657
40.0,svm,0.877108332953111
40.0,svm,0.8702199413489736
40.0,svm,0.8658193629082692
40.0,svm,0.8753557874762807
40.0,svm,0.8846375957800576
40.0,svm,0.8678826260692291
40.0,svm,0.8774824303090697
40.0,svm,0.8354356217259444
40.0,svm,0.8678826260692291
40.0,svm,0.8753557874762807
40.0,svm,0.9202624125088406
20.0,svm,0.8511276563584005
20.0,svm,0.8617888563049854
20.0,svm,0.8806514324336565
20.0,svm,0.9031285459555844
20.0,svm,0.8539662756598241
20.0,svm,0.8682757676689328
20.0,svm,0.8846299810246678
20.0,svm,0.8539662756598241
20.0,svm,0.8266657106424871
20.0,svm,0.8446607920636876
20.0,svm,0.8678826260692291
20.0,svm,0.860530638317288
20.0,svm,0.8214589442815249
20.0,svm,0.8798468556533073
20.0,svm,0.8360336352744902
20.0,svm,0.8387060751787611
20.0,svm,0.8696987679755759
20.0,svm,0.848982158597215
20.0,svm,0.8846375957800576
20.0,svm,0.8744045509022468
20.0,svm,0.8682757676689328
20.0,svm,0.8497866386577421
20.0,svm,0.8360336352744902
20.0,svm,0.886109587098267
20.0,svm,0.8532879488528848
20.0,svm,0.863880742913001
20.0,svm,0.8491382036685641
20.0,svm,0.8491382036685641
20.0,svm,0.8630554204715333
20.0,svm,0.8719452590420332
20.0,svm,0.8846375957800576
20.0,svm,0.8511276563584005
20.0,svm,0.8786510263929618
20.0,svm,0.8648167955154357
20.0,svm,0.8791610381657391
20.0,svm,0.9044277755906198
20.0,svm,0.8688552735198725
20.0,svm,0.8559127149589983
20.0,svm,0.8936860275889341
20.0,svm,0.8702199413489736
20.0,svm,0.8469498027773273
20.0,svm,0.8744045509022468
20.0,svm,0.8780425219941349
20.0,svm,0.910549853372434
20.0,svm,0.8176177169367436
20.0,svm,0.8734776168531929
20.0,svm,0.884853462304756
20.0,svm,0.8594432023847545
20.0,svm,0.8630554204715333
20.0,svm,0.8678826260692291
20.0,svm,0.8734511489035486
20.0,svm,0.8364802940643185
20.0,svm,0.8465679652744007
20.0,svm,0.8511276563584005
20.0,svm,0.8354356217259444
20.0,svm,0.883124268547975
20.0,svm,0.860175650064144
20.0,svm,0.8630554204715333
20.0,svm,0.8748387096774194
20.0,svm,0.8657672210592251
20.0,svm,0.8623973607038123
20.0,svm,0.8428655077489317
20.0,svm,0.8617888563049854
20.0,svm,0.8859408982372892
20.0,svm,0.8610716111863786
20.0,svm,0.8709173105671727
20.0,svm,0.8617888563049854
20.0,svm,0.8753557874762807
20.0,svm,0.8511276563584005
20.0,svm,0.8864736070381231
20.0,svm,0.8610716111863786
20.0,svm,0.8558162267839687
20.0,svm,0.8682757676689328
20.0,svm,0.8594432023847545
20.0,svm,0.860530638317288
20.0,svm,0.8660815939278936
20.0,svm,0.8648655710746997
20.0,svm,0.8879113717823396
20.0,svm,0.863880742913001
20.0,svm,0.8734776168531929
20.0,svm,0.8623973607038123
20.0,svm,0.8321948134092346
20.0,svm,0.8846375957800576
20.0,svm,0.8588346323634856
20.0,svm,0.8516980730331097
20.0,svm,0.8551935303758936
20.0,svm,0.8040056717476072
20.0,svm,0.8791610381657391
20.0,svm,0.8938932494317611
20.0,svm,0.8461436950146629
20.0,svm,0.8623973607038123
20.0,svm,0.8479146301726947
20.0,svm,0.854811692872967
20.0,svm,0.8780425219941349
20.0,svm,0.8484101735704749
20.0,svm,0.8594432023847545
20.0,svm,0.8610716111863786
